id_farmacia,id_producto,stock,precio
3VZjnASQ6FnIYqsPTY3f,100075,69,63.19
3VZjnASQ6FnIYqsPTY3f,100707387128609,65,63.19
3VZjnASQ6FnIYqsPTY3f,100707387509507,87,50.45
3VZjnASQ6FnIYqsPTY3f,100707387582753,83,90.3
3VZjnASQ6FnIYqsPTY3f,1012905,9,77.63
3VZjnASQ6FnIYqsPTY3f,1016509,74,97.72
3VZjnASQ6FnIYqsPTY3f,1017209,33,64.33
3VZjnASQ6FnIYqsPTY3f,1017609,12,36.57
3VZjnASQ6FnIYqsPTY3f,1017709,48,79.23
3VZjnASQ6FnIYqsPTY3f,1017809,15,15.81
3VZjnASQ6FnIYqsPTY3f,1018109,35,60.09
3VZjnASQ6FnIYqsPTY3f,1018209,5,15.9
3VZjnASQ6FnIYqsPTY3f,110287,0,57.08
3VZjnASQ6FnIYqsPTY3f,11816,90,64.65
3VZjnASQ6FnIYqsPTY3f,11845162618,75,61.17
3VZjnASQ6FnIYqsPTY3f,123456,77,19.45
3VZjnASQ6FnIYqsPTY3f,12345641,13,25.22
3VZjnASQ6FnIYqsPTY3f,14500,94,32.64
3VZjnASQ6FnIYqsPTY3f,160623,57,20.01
3VZjnASQ6FnIYqsPTY3f,1610,34,33.17
3VZjnASQ6FnIYqsPTY3f,16258,13,63.69
3VZjnASQ6FnIYqsPTY3f,1698,82,28.7
3VZjnASQ6FnIYqsPTY3f,1699,32,64.13
3VZjnASQ6FnIYqsPTY3f,17580,91,92.46
3VZjnASQ6FnIYqsPTY3f,17792,22,38.91
3VZjnASQ6FnIYqsPTY3f,17800007155719,43,63.93
3VZjnASQ6FnIYqsPTY3f,17870,92,34.1
3VZjnASQ6FnIYqsPTY3f,18075,41,52.72
3VZjnASQ6FnIYqsPTY3f,18904073006176,54,74.81
3VZjnASQ6FnIYqsPTY3f,189040730061792,95,86.83
3VZjnASQ6FnIYqsPTY3f,18904073006695,11,26.77
3VZjnASQ6FnIYqsPTY3f,18904115700147,12,44.36
3VZjnASQ6FnIYqsPTY3f,18904180101269,40,68.1
3VZjnASQ6FnIYqsPTY3f,18904306500075,17,14.48
3VZjnASQ6FnIYqsPTY3f,18904306500310,81,37.12
3VZjnASQ6FnIYqsPTY3f,18904306500433,84,75.32
3VZjnASQ6FnIYqsPTY3f,18904306500440,52,70.78
3VZjnASQ6FnIYqsPTY3f,18904306500501,44,21.35
3VZjnASQ6FnIYqsPTY3f,18904306500655,7,31.68
3VZjnASQ6FnIYqsPTY3f,18904306500754,85,70.4
3VZjnASQ6FnIYqsPTY3f,18904306500938,57,30.57
3VZjnASQ6FnIYqsPTY3f,190105002,81,61.11
3VZjnASQ6FnIYqsPTY3f,19360,12,51.49
3VZjnASQ6FnIYqsPTY3f,2010221,45,26.69
3VZjnASQ6FnIYqsPTY3f,2011625,59,14.15
3VZjnASQ6FnIYqsPTY3f,2011723,7,16.55
3VZjnASQ6FnIYqsPTY3f,2011726,92,81.25
3VZjnASQ6FnIYqsPTY3f,2011727,67,12.13
3VZjnASQ6FnIYqsPTY3f,20202,45,32.84
3VZjnASQ6FnIYqsPTY3f,208714,94,55.5
3VZjnASQ6FnIYqsPTY3f,212,53,82.58
3VZjnASQ6FnIYqsPTY3f,23009161,76,86.92
3VZjnASQ6FnIYqsPTY3f,23015,47,42.43
3VZjnASQ6FnIYqsPTY3f,2421236,72,66.7
3VZjnASQ6FnIYqsPTY3f,2472,31,55.23
3VZjnASQ6FnIYqsPTY3f,268,93,54.27
3VZjnASQ6FnIYqsPTY3f,27004192,77,79.09
3VZjnASQ6FnIYqsPTY3f,2784,22,49.55
3VZjnASQ6FnIYqsPTY3f,28110141,10,63.04
3VZjnASQ6FnIYqsPTY3f,28706161,35,35.53
3VZjnASQ6FnIYqsPTY3f,300530000434,79,83.26
3VZjnASQ6FnIYqsPTY3f,308642013,83,99.61
3VZjnASQ6FnIYqsPTY3f,311845419316,88,50.02
3VZjnASQ6FnIYqsPTY3f,311845440310,9,57.98
3VZjnASQ6FnIYqsPTY3f,311845441751,10,24.73
3VZjnASQ6FnIYqsPTY3f,311845442550,55,91.48
3VZjnASQ6FnIYqsPTY3f,311845451415,94,12.31
3VZjnASQ6FnIYqsPTY3f,311845485953,41,83.34
3VZjnASQ6FnIYqsPTY3f,343434349000,23,23.3
3VZjnASQ6FnIYqsPTY3f,3466320012838,38,84.04
3VZjnASQ6FnIYqsPTY3f,3499320000765,7,66.19
3VZjnASQ6FnIYqsPTY3f,3499320001212,22,42.3
3VZjnASQ6FnIYqsPTY3f,3499320004473,23,10.91
3VZjnASQ6FnIYqsPTY3f,3510268,65,70.41
3VZjnASQ6FnIYqsPTY3f,3582910009900,39,54.37
3VZjnASQ6FnIYqsPTY3f,3760095250083,61,21.89
3VZjnASQ6FnIYqsPTY3f,3760095250342,14,54.23
3VZjnASQ6FnIYqsPTY3f,3760095250410,39,54.34
3VZjnASQ6FnIYqsPTY3f,3760095250441,27,71.5
3VZjnASQ6FnIYqsPTY3f,3760095251554,50,12.31
3VZjnASQ6FnIYqsPTY3f,38060,33,101.58
3VZjnASQ6FnIYqsPTY3f,38698,0,19.49
3VZjnASQ6FnIYqsPTY3f,4005800178573,77,68.57
3VZjnASQ6FnIYqsPTY3f,4005900140906,76,10.72
3VZjnASQ6FnIYqsPTY3f,4022679142153,20,85.93
3VZjnASQ6FnIYqsPTY3f,40226791423027,42,24.29
3VZjnASQ6FnIYqsPTY3f,4022679147226,81,82.2
3VZjnASQ6FnIYqsPTY3f,4022679147233,45,17.82
3VZjnASQ6FnIYqsPTY3f,4022679147899,54,54.33
3VZjnASQ6FnIYqsPTY3f,4022679147967,99,32.37
3VZjnASQ6FnIYqsPTY3f,4022679148735,10,86.72
3VZjnASQ6FnIYqsPTY3f,4022679148742,52,111.37
3VZjnASQ6FnIYqsPTY3f,4022679148759,75,92.59
3VZjnASQ6FnIYqsPTY3f,4022679148899,69,21.57
3VZjnASQ6FnIYqsPTY3f,4104480467035,87,42.49
3VZjnASQ6FnIYqsPTY3f,4104480705137,62,63.82
3VZjnASQ6FnIYqsPTY3f,4104480718113,85,43.03
3VZjnASQ6FnIYqsPTY3f,4277715,62,95.96
3VZjnASQ6FnIYqsPTY3f,42912193,43,87.07
3VZjnASQ6FnIYqsPTY3f,46703,84,56.15
3VZjnASQ6FnIYqsPTY3f,4718292001402,48,87.33
3VZjnASQ6FnIYqsPTY3f,48327203537,77,54.29
3VZjnASQ6FnIYqsPTY3f,495752018,62,28.86
3VZjnASQ6FnIYqsPTY3f,5,24,20.4
3VZjnASQ6FnIYqsPTY3f,500108,28,16.91
3VZjnASQ6FnIYqsPTY3f,500109,19,92.34
3VZjnASQ6FnIYqsPTY3f,5027314498366,76,100.38
3VZjnASQ6FnIYqsPTY3f,5027314498533,48,34.91
3VZjnASQ6FnIYqsPTY3f,5027314503275,97,99.75
3VZjnASQ6FnIYqsPTY3f,5420024613737,42,32.92
3VZjnASQ6FnIYqsPTY3f,5420024614222,70,41.12
3VZjnASQ6FnIYqsPTY3f,55500230,68,79.14
3VZjnASQ6FnIYqsPTY3f,5600360012887,26,50.89
3VZjnASQ6FnIYqsPTY3f,5600360012894,31,64.04
3VZjnASQ6FnIYqsPTY3f,5605709329015,19,33.91
3VZjnASQ6FnIYqsPTY3f,5605709349013,47,109.14
3VZjnASQ6FnIYqsPTY3f,569550023,62,93.73
3VZjnASQ6FnIYqsPTY3f,5900852021305,17,26.17
3VZjnASQ6FnIYqsPTY3f,5900852034961,18,25.55
3VZjnASQ6FnIYqsPTY3f,5900852940880,48,21.75
3VZjnASQ6FnIYqsPTY3f,5900852940897,7,43.86
3VZjnASQ6FnIYqsPTY3f,5902020885818,65,34.06
3VZjnASQ6FnIYqsPTY3f,5903473014022,46,86.39
3VZjnASQ6FnIYqsPTY3f,5915910103220,70,18.27
3VZjnASQ6FnIYqsPTY3f,614143778124,10,44.29
3VZjnASQ6FnIYqsPTY3f,6225102085128,78,12.34
3VZjnASQ6FnIYqsPTY3f,650240007019,30,23.42
3VZjnASQ6FnIYqsPTY3f,650240007828,79,20.96
3VZjnASQ6FnIYqsPTY3f,650240010088,19,80.99
3VZjnASQ6FnIYqsPTY3f,650240027543,2,22.55
3VZjnASQ6FnIYqsPTY3f,650240051623,72,84.8
3VZjnASQ6FnIYqsPTY3f,650240051630,3,92.34
3VZjnASQ6FnIYqsPTY3f,673859029616,14,65.32
3VZjnASQ6FnIYqsPTY3f,673859034917,4,45.74
3VZjnASQ6FnIYqsPTY3f,673859090210,49,12.01
3VZjnASQ6FnIYqsPTY3f,673859090234,79,91.91
3VZjnASQ6FnIYqsPTY3f,673859090258,14,90.2
3VZjnASQ6FnIYqsPTY3f,676194170180,57,88.67
3VZjnASQ6FnIYqsPTY3f,676194173174,52,20.21
3VZjnASQ6FnIYqsPTY3f,676194176199,35,35.59
3VZjnASQ6FnIYqsPTY3f,676194500055,95,57.99
3VZjnASQ6FnIYqsPTY3f,676194500253,83,55.53
3VZjnASQ6FnIYqsPTY3f,676194961627,11,81.25
3VZjnASQ6FnIYqsPTY3f,676194962327,60,81.65
3VZjnASQ6FnIYqsPTY3f,676194962334,97,54.02
3VZjnASQ6FnIYqsPTY3f,676194962440,76,70.43
3VZjnASQ6FnIYqsPTY3f,676194962464,60,90.1
3VZjnASQ6FnIYqsPTY3f,676194963799,79,99.24
3VZjnASQ6FnIYqsPTY3f,676194971800,51,31.71
3VZjnASQ6FnIYqsPTY3f,676194989652,51,100.21
3VZjnASQ6FnIYqsPTY3f,676194991426,34,29.06
3VZjnASQ6FnIYqsPTY3f,676194992263,25,49.66
3VZjnASQ6FnIYqsPTY3f,676194995837,72,49.83
3VZjnASQ6FnIYqsPTY3f,6890658,27,28.64
3VZjnASQ6FnIYqsPTY3f,6901046403135,20,24.39
3VZjnASQ6FnIYqsPTY3f,6921042190013,29,31.21
3VZjnASQ6FnIYqsPTY3f,6921042190020,42,26.07
3VZjnASQ6FnIYqsPTY3f,6921042190021,50,70.5
3VZjnASQ6FnIYqsPTY3f,6921042190051,33,67.79
3VZjnASQ6FnIYqsPTY3f,6921042190099,54,65.5
3VZjnASQ6FnIYqsPTY3f,6921042190105,51,20.6
3VZjnASQ6FnIYqsPTY3f,6922447512103,2,93.0
3VZjnASQ6FnIYqsPTY3f,6922977481009,53,95.38
3VZjnASQ6FnIYqsPTY3f,6926678710215,69,74.04
3VZjnASQ6FnIYqsPTY3f,6929020001061,22,36.05
3VZjnASQ6FnIYqsPTY3f,6932384019948,58,56.03
3VZjnASQ6FnIYqsPTY3f,6948056932019,84,76.0
3VZjnASQ6FnIYqsPTY3f,6948056942018,77,42.7
3VZjnASQ6FnIYqsPTY3f,7,90,37.98
3VZjnASQ6FnIYqsPTY3f,7010826,39,19.47
3VZjnASQ6FnIYqsPTY3f,7010827,80,37.81
