Marca,Codigo_Barras,Acción_Terapéutica,Principio_Activo,Nombre,id
AISAFARM,100075,ALIVIO DEL ESTREÑIMIENTO,AGIOLAX GRANULADO,AGIOLAX GRANULADO POTE X 100 G,100075
INSUMOS,100707387128609,ARA PROTEGER HERIDAS,TEGADERM FILM,TEGADERM FILM 3M 10 X 25 CM,100707387128609
INSUMOS,100707387509507,INSUMOS DESCARTABLES DE CURACION,TEGADERM FILM,TEGADERM FILM 3M 10 X 12 CM,100707387509507
INSUMOS,100707387582753,INSUMOS DESCARTABLES DE CURACION,TEGADERM I.V. ADVANCED,TEGADERM I.V. ADVANCED 3M 6.25 X 7CM,100707387582753
SOLQUIFAR,1012905,DIGESTIVO Y GENITO URINARIO,CLORURO DE MAGNESIO,CLORURO DE MAGNESIO FCO X 33 G,1012905
SOLQUIFAR,1016509,EMOLIENTES PROTECTORES DERMATOLOGICOS,VASELINA SÓLIDA BLANCA,VASELINA SOLIDA BLANCA FRASCO X 200 G,1016509
SOLQUIFAR,1017209,FORTIFICADO CON CALCIO Y VITAMINA C.,COLÁGENO HIDROLIZADO SQF NEUTRO,COLAGENO HIDROLIZADO SQF NEUTRO FCO X 300 GR.,1017209
SOLQUIFAR,1017609,SABOR A NARANJA FORTIFICADO CON CALCIO Y VITAMINA C.,COLÁGENO HIDROLIZADO SQF NARANJA,COLAGENO HIDROLIZADO SQF NARANJA FCO X 300 GR.,1017609
SOLQUIFAR,1017709,FORTIFICADO CON CALCIO Y VITAMINA C.,COLÁGENO HIDROLIZADO SQF MANZANA,COLAGENO HIDROLIZADO SQF MANZANA FCO X 300 GR.,1017709
SOLQUIFAR,1017809,FORTIFICADO CON CALCIO Y VITAMINA C.,COLÁGENO HIDROLIZADO SQF ARÁNDANOS,COLAGENO HIDROLIZADO SQF ARANDANOS FCO X 300 GR.,1017809
SOLQUIFAR,1018109,FORTIFICADO CON CALCIO Y VITAMINA C.,COLÁGENO HIDROLIZADO CA-MG-VIT C SQF FRUTOS ROJOS,COLAGENO HIDROLIZADO CA- MG- VIT C SQF FRUTOS ROJOS X 300 GR.,1018109
SOLQUIFAR,1018209,REGENERADOR DE CARTILADO PREVIENE ENVEJECIMIENTO,COLAGENO VITAMINA C MAGNESIO,COLAGENO HIDROLIZADO CA- MG- VIT. C SQF NARANJA/ MANZANA X 300 GR,1018209
